Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
NOFHIN00556,JAN JAGRAN TIMES,,62359.0,62359/ 94,NOT GIVEN,,,W
APENG03114,JAGRAN CITY PLUS,,110733.0,APENG/2010/38176,JAGRAN PRAKASHAN LTD,AP,HYDERABAD,W
BIHHIN05227,SAMPURNA JAGRAN,,125436.0,BIHHIN/2013/52881,NUTAN VERMA,BIH,BETTIAH,D
BIHHIN05120,DAINIK JAGRAN,,119746.0,BIHHIN/2012/47189,JAGRAN PRAKASHAN LTD,BIH,BHAGALPUR,D
BIHHIN02261,VISHWA JAGRAN,,39498.0,39498/ 81,D. R. TYAGI,BIH,GAYA,W
BIHHIN05109,DAINIK JAGRAN,,119741.0,BIHHIN/2012/47184,JAGRAN PRAKASHAN LTD,BIH,MUZAFFARPUR,D
BIHHIN05150,SAMPURNA JAGRAN,,120233.0,BIHHIN/2012/47676,NUTAN VERMA,BIH,MUZAFFARPUR,D
BIHHIN04876,SAMPURNA JAGRAN,,52396.0,52396/ 91,NUTAN VERMA,BIH,MUZAFFARPUR,F
BIHHIN04420,DAINIK JAGRAN,,75654.0,BIHHIN/2000/03097,JAGRAN PRAKASHAN LIMITED,BIH,PATNA,D
CHAHIN00427,KISHAN JAGRAN,,23578.0,23578/ 71,"HARYANA AGRO INDUSTRIES CORPORATION, CHANDIGARH",CHA,CHANDIGARH,BM
CHAHIN00377,DAINIK JAGRAN,,123184.0,CHAHIN/2013/50629,JAGRAN PRAKASHAN LTD,CHA,CHANDIGARH,D
CHHHIN17414,DEV JAGRAN NEWS,देव जागरण न्यूज,155226.0,CHHHIN/2022/82671,SMT. SOMA SINGH,CHH,DURG,W
DELHIN01008,DAINIK JAGRAN,,50755.0,50755/ 90,JAGRAN PRAKASHAN LTD,DEL,DELHI,D
