Title-Code,Title Name,Owner Name,State,Publication City/District
NOF00025,ANUJA TIMES,NOF,,
NOF00028,NEEL GAGAN SAMACHAR TIMES,NOT GIVEN,,
NOFHIN00548,AAP SUB KA SAHARA TIMES,NOT GIVEN,,
NOFHIN00556,JAN JAGRAN TIMES,NOT GIVEN,,
ANDENG00151,TODAY TIMES,PRADEEP KUMAR,AND,PORT BLAIR
ANDENG00160,THE KING TIMES,MOHD. SHAFIQUE,AND,PORT BLAIR
ANDENG00127,EMERALD TIMES,R. GURU,AND,PORT BLAIR
ANDENG00029,THE PORT BLAIR TIMES,DR P A MATHEWS,AND,PORT BLAIR
ANDENG00033,THE DAWN TIMES,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR
ANDENG00187,THE TIMES OF ANDAMAN,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR
ANDENG00052,NEW ISLAND TIMES,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR
APTEL14486,SHANTHI TIMES,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR
APTEL15851,ANANTA TIMES,JODU RAMESH KUMAR,AP,ANANTAPUR
APTEL16160,AKSHRA TIMES,BABAN JAVEED BASHA,AP,ANANTAPUR
APTEL15581,KADIRI TIMES,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR
APTEL15823,BHAGAVAN TIMES,GADDAM SREEDHAR,AP,ANANTAPUR
APTEL13506,SHAMBU TIMES,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR
APTEL12574,PENNA TIMES,BILLE. AKKULAPPA,AP,ANANTAPUR
APTEL15887,VAMSI TIMES,KADAPA MADHUSUDHANA,AP,ANANTAPUR
APTEL16462,PAVITRA TIMES,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR
APTEL12035,NANDU TIMES,B. SUBRAMANYAM REDDY,AP,ANANTAPUR
APTEL12410,THE TIMES OF ADITHYA,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR
APTEL15107,KHADRI TIMES,PUPPALA ANJANEYLU,AP,ANANTAPUR
APTEL14637,NEW MAMATHA TIMES,M BALAVENKATAIAH,AP,ANANTAPUR
APTEL14921,TADIPATRI TIMES,GORTHI JYOTHI,AP,ANANTAPUR
APTEL14165,BHAGAVAN TIMES,GADDAM SREEDHAR,AP,ANANTAPUR
APTEL14259,SHALINI TIMES,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR
APTEL15674,PAMIDI TIMES,CHAKALI SIVAPRASAD,AP,ANANTAPUR
APTEL14100,HARIKA TIMES,M. RAJASEKHAR REDDY,AP,ANANTAPUR
APTEL14563,KEERTHI TIMES,K. SREENIVASULU,AP,ANANTAPUR
APTEL15448,HAPPY INDIA TIMES,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR
APBEN00010,PYRAMID TIMES,DR. G.R. YUGANDHAR,AP,CHITTOOR
APTEL10796,TIRUPATI HAPPY TIMES,N. REDDEPPA NAIDU,AP,CHITTOOR
APTEL10268,ESWAR TIMES,L. ESWAR,AP,CHITTOOR
APTEL14368,REGISTRATION TIMES,N.PURUSHOTHAM,AP,CHITTOOR
APBIL14868,TIMES OF TIRUPATI,K. NETHAJI,AP,CHITTOOR/ TIRUPATI
APENG03116,ENVIRONMENT AND POLLUTION TIMES,N. PURUSHOTHAM,AP,CHITTOR
APENG03117,TOURISM TIMES,N. PURUSHOTHAM,AP,CHITTOR
APENG03118,JOURNALIST TIMES,N. PURUSHOTHAM,AP,CHITTOR
APTEL15545,RAJAMAHENDRAVARAM TIMES,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI
